day(d),hourOfDay,scenario,age(dd),age(days),Ta (degree),rh,cca (ppm),wind (m/s),soil water content,LAI per vine(m2),hourlyabsRad(J/m2),assimilatedCO2(umolco2/m2/s),biomBerry(kg/vine),freshWeightBerry(kg/vine),biomBerry(t/ha),freshWeightBerry(t/ha),berrySugarConcentration(gsugar/gh20),sourceLoading_b,SYNTHESIS_RATE,SYNTHESIS_RATE,KM_ROOTS,KM_BERRY,KM_RESERVES,KM_SECONDARY,HYDROLYSIS_RATE
1,0,1,0.26134490966796875,0.0833333358168602,16.272278,0.6,400.0,3.1111112,0.32999998,0.29870664700865746,0.0,0.0,0.20302184633099818,1.3368207727641108,1.015109231654991,6.684103863820554,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,1,1,0.4862678050994873,0.1666666716337204,15.3981495,0.65,400.0,2.074074,0.32969415,0.29870664700865746,0.0,0.0,0.20322869223068057,1.3381827734574037,1.016143461153403,6.690913867287018,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,2,1,0.6987678209940592,0.2500000074505806,15.1,0.7,400.0,1.037037,0.32969415,0.29870664700865746,0.0,0.0,0.20343718249501413,1.3395556016594774,1.0171859124750706,6.697778008297386,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,3,1,0.9236907164255778,0.3333333432674408,15.3981495,0.75,400.0,0.1,0.32969415,0.29870664700865746,0.0,0.0,0.20364382056701574,1.3409162338874259,1.0182191028350787,6.704581169437129,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,4,1,1.1850356260935464,0.416666679084301,16.272278,0.80333334,400.0,0.5,0.32969415,0.29870664700865746,0.0,0.0,0.20385449358808305,1.3423034347030698,1.0192724679404153,6.7115171735153485,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,5,1,1.5043195883433023,0.5000000149011612,17.662815,0.8566667,400.0,1.0,0.32969415,0.29870664700865746,4384.411846946945,0.229655157845258,0.20417700960418136,1.3444270786244552,1.0208850480209068,6.722135393122277,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,6,1,1.8991112709045408,0.5833333507180214,19.475,0.91,400.0,1.5,0.3289658,0.29870664700865746,13277.29800485047,0.49092456289289355,0.20461856502848047,1.3473345512644561,1.0230928251424023,6.736672756322281,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,7,1,2.381833473841349,0.6666666865348816,21.585333,0.81666666,400.0,1.0,0.3277061,0.29870664700865746,21841.342271641417,0.6411300675575511,0.20513945206743195,1.3507643920747823,1.0256972603371597,6.753821960373911,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,8,1,2.9589168230692544,0.7500000223517418,23.85,0.72333336,400.0,0.5,0.32460582,0.29870664700865746,29501.728653497106,0.7642282081304029,0.20572740121651537,1.354635811087208,1.028637006082577,6.7731790554360405,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,9,1,3.630361239115397,0.833333358168602,26.114666,0.63,400.0,0.1,0.321246,0.29870664700865746,35749.72257593225,0.844374167023337,0.20635619381298637,1.3587761684916628,1.0317809690649318,6.793880842458314,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
