day(d),hourOfDay,scenario,age(dd),age(days),Ta (degree),rh,cca (ppm),wind (m/s),soil water content,LAI per vine(m2),hourlyabsRad(J/m2),assimilatedCO2(umolco2/m2/s),biomBerry(kg/vine),freshWeightBerry(kg/vine),biomBerry(t/ha),freshWeightBerry(t/ha),berrySugarConcentration(gsugar/gh20),sourceLoading_b,SYNTHESIS_RATE,SYNTHESIS_RATE,KM_ROOTS,KM_BERRY,KM_RESERVES,KM_SECONDARY,HYDROLYSIS_RATE
1,0,0,0.26134490966796875,0.0833333358168602,16.272278,0.6,400.0,3.1111112,0.32999998,1.4359780820086598,0.0,0.0,0.20327134367087732,1.3384636167866997,1.0163567183543867,6.692318083933499,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,1,0,0.4862678050994873,0.1666666716337204,15.3981495,0.65,400.0,2.074074,0.3285445,1.4359780820086598,0.0,0.0,0.203708757631769,1.3413438194830318,1.018543788158845,6.706719097415159,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,2,0,0.6987678209940592,0.2500000074505806,15.1,0.7,400.0,1.037037,0.3285445,1.4359780820086598,0.0,0.0,0.20414065302884868,1.3441876845591876,1.0207032651442434,6.720938422795937,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,3,0,0.9236907164255778,0.3333333432674408,15.3981495,0.75,400.0,0.1,0.3285445,1.4359780820086598,0.0,0.0,0.20457890164689838,1.3470733831518844,1.022894508234492,6.735366915759422,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,4,0,1.1850356260935464,0.416666679084301,16.272278,0.80333334,400.0,0.5,0.3285445,1.4359780820086598,0.0,0.0,0.20503642674269223,1.3500860099364962,1.0251821337134612,6.750430049682481,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,5,0,1.5043195883433023,0.5000000149011612,17.662815,0.8566667,400.0,1.0,0.3285445,1.4359780820086598,27407.26263740309,1.460466700994436,0.20559617153345291,1.3537717140971974,1.0279808576672647,6.768858570485988,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,6,0,1.8991112709045408,0.5833333507180214,19.475,0.91,400.0,1.5,0.3255314,1.4359780820086598,82994.57358637947,3.3614936886649027,0.2062301484648021,1.3579462083528502,1.0311507423240105,6.789731041764251,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,7,0,2.381833473841349,0.6666666865348816,21.585333,0.81666666,400.0,1.0,0.32016662,1.4359780820086598,136530.75194265196,4.524530611345119,0.2069246729202877,1.3625193847674322,1.0346233646014384,6.812596923837161,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,8,0,2.9589168230692544,0.7500000223517418,23.85,0.72333336,400.0,0.5,0.30618036,1.4359780820086598,184426.79648578342,5.44574300828524,0.20765645432591384,1.3673378838690942,1.0382822716295692,6.836689419345471,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
1,9,0,3.630361239115397,0.833333358168602,26.114666,0.63,400.0,0.1,0.29085827,1.4359780820086598,223448.39874919047,6.066854888905094,0.2083913562792235,1.3721769305770406,1.0419567813961175,6.860884652885203,0.08,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148
