scenario,scenario2,day(d),hourOfDay,int1.cpt,int2.cpt,int3.cpt,int4.cpt,int5.cpt,int6.cpt,int7.cpt,int8.cpt,int9.cpt,int10.cpt,trunk.cpt,root.cpt,S1.cpb,S2.cpb,S3.cpb,S4.cpb,S5.cpb,S6.cpb,S7.cpb,S8.cpb,S9.cpb,S10.cpb,trunk.cpb,root.cpb,int1.j (mg/hour),int2.j (mg/hour),int3.j (mg/hour),int4.j (mg/hour),int5.j (mg/hour),int6.j (mg/hour),int7.j (mg/hour),int8.j (mg/hour),int9.j (mg/hour),int10.j (mg/hour),trunk.j (mg/hour),root.j (mg/hour),int1.CNS (mg),int2.CNS (mg),int3.CNS (mg),int4.CNS (mg),int5.CNS (mg),int6.CNS (mg),int7.CNS (mg),int8.CNS (mg),int9.CNS (mg),int10.CNS (mg),trunk.CNS (mg),root.CNS (mg),int1.CS (mg),int2.CS (mg),int3.CS (mg),int4.CS (mg),int5.CS (mg),int6.CS (mg),int7.CS (mg),int8.CS (mg),int9.CS (mg),int10.CS (mg),trunk.CS (mg),root.CS (mg),int1.biomass (mg),int2.biomass (mg),int3.biomass (mg),int4.biomass (mg),int5.biomass (mg),int6.biomass (mg),int7.biomass (mg),int8.biomass (mg),int9.biomass (mg),int10.biomass (mg),trunk.biomass (mg),root.biomass (mg),sourceLoading_b,SYNTHESIS_RATE,SYNTHESIS_RATE,KM_ROOTS,KM_BERRY,KM_RESERVES,KM_SECONDARY,HYDROLYSIS_RATE,S13.cpb,S14.cpb,S15.cpb,S16.cpb,S13.cpt,S14.cpt,S15.cpt,S16.cpt,C1.Cflux,C1.carbon_nonStructure,C1.carbon_structure,C2.Cflux,C2.carbon_nonStructure,C2.carbon_structure,C3.Cflux,C4.carbon_nonStructure,C5.carbon_structure,C6.Cflux,C7.carbon_nonStructure,C8.carbon_structure
0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9860.268141018973,3668.9716705354617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47379.146605713795,9178.690728887863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123279.4444556513,30592.86007709861,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,399.88218868766444,1921.73030100757,0.0,399.88218868766444,1921.8165197817173,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9852.262597787008,3665.7122706110345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47382.77123236839,9179.108522349934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123270.00905236749,30586.093642381198,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,399.55753264818804,1922.1330571293768,0.0,399.5575351553084,1922.2998271098807,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9844.78765492402,3662.6345234355645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47386.582583690906,9179.527919613836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123262.11858857045,30579.763578253405,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,399.2544033253612,1922.556580942678,0.0,399.2544109547557,1922.808055666909,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9836.791759061442,3659.3795918916107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47390.202420338894,9179.945506820048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123252.6936468364,30573.00729250924,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,398.9301536889793,1922.9588427782326,0.0,398.93016861621754,1923.2907698515921,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9827.683523285017,3655.738179002026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47393.50210416525,9180.364042278024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123240.18347249823,30565.33297517076,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,398.56079765838103,1923.3255438127178,0.0,398.56082128603475,1923.7308110765816,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9821.229228186236,3652.8629115038307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47399.662760367755,9180.936730157055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123239.55104744351,30559.850071439676,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,398.2991075297864,1924.0102195884915,0.0,398.29915107656734,1924.5524219769027,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9816.379077243433,3650.4453408029617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47407.37308864538,9181.598960919733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123245.71115712391,30555.670255108325,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,398.10251950528937,1924.8671879706678,0.0,398.1025974886538,1925.5807839972047,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9811.671602296457,3647.9517981727363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47416.04201335006,9182.327500373991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123254.2431333422,30551.467428670385,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,397.91178255957084,1925.830794264813,0.0,397.9119154127361,1926.7371115071023,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9806.962378906832,3645.302741112256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47425.34056810675,9183.09693311504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123264.12741017938,30546.99166630879,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,397.72106795441823,1926.864501563443,0.0,397.721285021496,1927.977560219248,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9802.311747479067,3642.4965994526387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47434.822373115356,9183.870979378502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123274.53255491662,30542.152839743678,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0010000000474974513,0.0010000000474974513,0.0,0.0,0.0,397.5328560849698,1927.9187047673354,0.0,397.5331972377421,1929.2426040167927,0.0,0.0,0.0,0.0,0.0,0.0
