day(d),hourOfDay),scenario,age(dd),age(days),cca (ppm),wind (m/s),soilNContent (g/m3),leafArea,incomingRadiation(umol/m2/s),Ta (degree),rh,soilWaterContent(kg/kg),leafNumber,totalBerryNum,Absorbed PAR(umol/plant/s),Co2 assimilation(umolco2/plant/s),carbonAssimilation(mg/plant/hour),waterFlux(mg/plant/s),WUE(mgC/mgH2o),waterFluxPotential(mg/s),phloemCconcentration(mgc/mgH2o),fraction_berryUnloading,fraction_fineRootUnloading,fraction_stemUnloading,fraction_leafLoading,fraction_stemLoading,leafLoading(mgC),woodLoading(mgC),internodeLoading(mgC),woodLeakage(mgC),internodeLeakage(mgC),fineRootUnloading(mgC),totalBerryUnloading(mgC),singleBerryActiveSucroseuptake(mgSucrose),singlePassiveUptake(mgSucrose),singleMassFlow(mgSucrose),sumBerryUnloadingSucrose(mgSucrose),maintenanceLeaf(mgC),maintenanceWood(mgC),maintenanceInternode(mgC),maintenanceRoot(mgC),sumMaintenanceBerry(mgC),sumGrowthCostBerry(mgC),growthCostRoot(mgC),NuptakeCostRoot(mgC),soilAvailableWater(kg),soilWaterPotential[MPa],rootConductance[mg/MPa/s],xylemWaterPotential[MPa],singleBerryFreshWeight[g],singleBerryDryWeight[g],sugarConcentration[g/gh20],waterUptake[g],respirationWater[g],transpirationLost[g],waterBalance[g],osmoticWaterPotential_fruit[MPa],turgorPressure_fruit[MPa],waterPotential_fruit[MPa],osmoticWaterPotential_phloem[MPa],turgorPressure_phloem[MPa],waterPotential_phloem[MPa],rootNitrogenUptake(mg),plantNitrogenCommonPool(mg),plantNitrogenContent(mg/mg),meanLeafNcontent(mg/mg),leafNDegradation(mg),leafNSynthesis(mg),wholePlantNitrogenAmount(mg),plantBiomass(g/plant),berryBiomass(g/plant),rootBiomass(g/plant),leafBiomass(gr/plant),internodeBiomass(g/plant),woodBiomass(g/plant),woodStructuralC(gr/plant),woodNonstructuralC(gr/plant),woodNonstructuralCcontent(mg/mg),berryLphloem(g/cm2/bar/h),Vmax_berry),inputWaterPotential,scenario2,rt.carbon_structure,rt.carbon_nonStructure,rt.fc_nstrTostr,sourceLoading_b,SYNTHESIS_RATE,SYNTHESIS_RATE,KM_ROOTS,KM_BERRY,KM_RESERVES,KM_SECONDARY,HYDROLYSIS_RATE,RootLoading,RootLeakage,fraction_fineRootLoading,stemLoading,stemUnloading,structuralRootLoading,fraction_structuralRootLoading,structuralRootUnloading,fraction_structuralRootUnloading
1,0,1,0.26134490966796875,0.0833333358168602,400.0,3.1111112,15.0,0.29870664700865746,0.0,16.272278,0.6,0.32999998,3,1560,0.0,0.0,0.0,0.44805998636125055,0.0,0.44805998636125055,0.020865075,0.87113553,0.0052912165,0.058117412,0.42871997,0.21088889,46.90635,10.595984,8.180225,0.0,0.0,0.5789132,95.311134,0.0,0.0,0.0,22.6363962919218,2.3150741308927536,0.9009603261947632,1.066512055695057,0.37965327501296997,0.0,297.3704614918279,0.03950379087177388,0.0,1.7405454,-0.01,6.327192,-0.080815926,133.6820772764111,20.30218463309982,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38051.31322756315,Infinity,1.6999999999999997,0.0,0.0,49565.257136799686,799846.226431123,3.167140652332463E7,30591.06498164129,16865.175835041424,99987.27712903889,123268.35050032324,47375.8467329119,9858.417021187768,0.2080895160938442,0.0,0.0023,-0.01,0,9178.372692027802,3668.5358458620717,0.3996934934935152,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.9430492,0.0,0.03603913,23.073399,6.3586392,35.48744,0.32435212,4.8386855,0.044225167
1,1,1,0.4862678050994873,0.1666666716337204,400.0,2.074074,15.0,0.29870664700865746,0.0,15.3981495,0.65,0.32969415,3,1560,0.0,0.0,0.0,0.44805998636125055,0.0,0.44805998636125055,0.02099291,0.86359435,0.00534252,0.058356952,0.43371376,0.20904697,44.632492,9.879194,7.626855,0.0,0.0,0.5497865,88.87052,0.0,0.0,0.0,21.10675091848978,2.87099152803421,0.8629804849624634,1.0215840116143227,0.36358368396759033,0.008800787036307156,277.27577218040915,0.036904536650052534,0.0,1.7389324,-0.01,6.329351,-0.080791764,133.8182773457404,20.322869223068057,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38051.31322756315,Infinity,1.6999999999999997,0.0,0.0,49565.257136799686,800036.3236592709,3.1703674482142434E7,30582.60404729647,16971.969149111865,99975.4382580777,123248.48666128695,47376.38961388933,9848.651235888527,0.20788099971639035,0.0,0.0023,-0.01,0,9178.495707113734,3664.8596086265275,0.3992876093831042,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.6762674,0.0,0.035723925,21.512547,6.0053806,33.086403,0.3215153,4.603582,0.04473505
1,2,1,0.6987678209940592,0.2500000074505806,400.0,1.037037,15.0,0.29870664700865746,0.0,15.1,0.7,0.32969415,3,1560,0.0,0.0,0.0,0.44805998636125055,0.0,0.44805998636125055,0.021652143,0.8636558,0.0052858084,0.058720116,0.45202547,0.20228854,46.88345,9.635139,7.438424,0.0,0.0,0.54823637,89.577126,0.0,0.0,0.0,21.274568431485818,2.8989017754793167,0.8503707051277161,1.0066851321607828,0.3582110106945038,0.016806578387331683,279.4803621090566,0.03764994912120817,0.0,1.7389324,-0.01,6.331008,-0.08077324,133.95556016594773,20.343718249501414,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38051.31322756315,Infinity,1.6999999999999997,0.0,0.0,49565.257136799686,800018.206717449,3.1736198961833637E7,30574.365901585446,16865.223975975525,99964.19485804334,123229.19437099507,47376.949192383894,9839.13412671797,0.20767766380997082,0.0,0.0023,-0.01,0,9178.621206907976,3661.2744481589866,0.39889155087949957,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.585408,0.0,0.03456861,20.981085,6.090365,32.26867,0.31111747,4.5965686,0.04431771
1,3,1,0.9236907164255778,0.3333333432674408,400.0,0.1,15.0,0.29870664700865746,0.0,15.3981495,0.75,0.32969415,3,1560,0.0,0.0,0.0,0.44805998636125055,0.0,0.44805998636125055,0.020956669,0.86366564,0.0053397105,0.058285393,0.43420398,0.20886898,44.63449,9.860087,7.6120877,0.0,0.0,0.5489014,88.78145,0.0,0.0,0.0,21.08559620187451,2.8709854930639267,0.8622111082077026,1.0207316651940346,0.3631390929222107,0.025274380241171457,276.9978662910845,0.03680433369357392,0.0,1.7389324,-0.01,6.33205,-0.0807616,134.09162338874262,20.364382056701572,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38051.31322756315,Infinity,1.6999999999999997,0.0,0.0,49565.257136799686,799999.903376347,3.1768434499534786E7,30565.921441675273,16763.59631231137,99952.3719422949,123209.36735910151,47377.49028547227,9829.387228379772,0.2074695634815809,0.0,0.0023,-0.01,0,9178.743887984107,3657.605463474825,0.39848649315327295,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.6690717,0.0,0.0356927,21.470924,5.9915104,33.021645,0.32123432,4.595788,0.04470781
1,4,1,1.1850356260935464,0.416666679084301,400.0,0.5,15.0,0.29870664700865746,0.0,16.272278,0.80333334,0.32969415,3,1560,0.0,0.0,0.0,0.44805998636125055,0.0,0.44805998636125055,0.019960565,0.86382824,0.0053848196,0.057513557,0.40558702,0.2194348,42.498936,10.559166,8.15178,0.0,0.0,0.5642417,90.515175,0.0,0.0,0.0,21.497356255225814,2.9559683799743652,0.898963212966919,1.0642705578356981,0.37855449318885803,0.03478481434285641,282.40708759600903,0.036791238554974896,0.0,1.7389324,-0.01,6.332405,-0.080757625,134.23034347030696,20.3854493588083,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38051.31322756315,Infinity,1.6999999999999997,0.0,0.0,49565.257136799686,799980.7791168868,3.180129948926028E7,30556.85693945496,16666.825637185753,99939.24084580739,123188.00946934882,47378.02299611823,9818.937916348503,0.20724667884839743,0.0,0.0023,-0.01,0,9178.866525409916,3653.67613180559,0.39805308440765474,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,3.9291625,0.0,0.037497815,22.993206,6.0264874,35.362465,0.33748037,4.714116,0.044988994
1,5,1,1.5043195883433023,0.5000000149011612,400.0,1.0,15.0,0.29870664700865746,355.44278,17.662815,0.8566667,0.32969415,3,1560,33.24845789978132,1.377930947071548,0.016535172150237067,1.5151842828974595,0.01091297760732916,1.5245209334083745,0.026769815,0.8930985,0.0046943887,0.062288243,0.5551542,0.16422144,86.13464,11.701035,9.033309,0.0,0.0,0.72835517,138.56818,0.0,0.0,0.0,32.90994333601763,0.0,0.9637486934661865,1.1410009022802114,0.40576308965682983,0.04780040864716284,432.3322896142235,0.0638316394294792,0.0,1.7389324,-0.01,7.6314144,-0.20854884,134.44270786244553,20.417700960418138,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38051.31322756315,Infinity,1.6999999999999997,0.0,0.0,49565.257136799686,800104.4398416661,3.1851611985381905E7,30547.001293802805,16606.259906812582,99929.11609920546,123165.50497004682,47379.055166592174,9807.45676652603,0.20699983847380402,0.0,0.0023,-0.01,0,9179.079297479504,3649.3244198739517,0.39756976725062443,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,4.3540134,0.0,0.028062446,25.479687,9.664296,39.18612,0.25256202,6.1852508,0.03986513
1,6,1,1.8991112709045408,0.5833333507180214,400.0,1.5,15.0,0.29870664700865746,1076.4646,19.475,0.91,0.3289658,3,1560,100.68618075752211,2.9455473773573613,0.035346570207160255,3.3607591846938343,0.010517436169821948,3.400653960135334,0.034418732,0.8844434,0.0043897876,0.071706705,0.6335754,0.1352731,135.90196,13.325046,10.287085,0.0,0.0,0.94160974,189.71318,0.0,0.0,0.0,45.056884033609954,0.0,1.053453803062439,1.2472714204341173,0.44344043731689453,0.07015227223746479,591.9045693346467,0.09835634359739057,0.0,1.7350907,-0.01,13.162149,-0.26534218,134.73345512644556,20.46185650284805,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38051.31322756315,Infinity,1.6999999999999997,0.0,0.0,49565.257136799686,800382.0441053638,3.192049462830082E7,30535.988919790412,16586.560784137982,99924.03579634994,123141.59015970654,47380.872714361416,9794.53542319946,0.20671918565633934,0.0,0.0023,-0.01,0,9179.407151860642,3644.371850341278,0.3970160370980574,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,4.9582086,0.0,0.023115182,29.01609,15.381093,44.62387,0.20803662,8.455069,0.039417554
1,7,1,2.381833473841349,0.6666666865348816,400.0,1.0,15.0,0.29870664700865746,1770.7363,21.585333,0.81666666,0.3277061,3,1560,165.63018583645646,3.846780405345307,0.04616136705669086,7.903014285647815,0.005840982362960133,7.977054047623562,0.038849432,0.8757748,0.0043604597,0.078942366,0.6421655,0.13210495,164.10086,15.502903,11.968398,0.0,0.0,1.1142848,223.79807,0.0,0.0,0.0,53.152044139583396,0.0,1.1674524545669556,1.3823750708252192,0.4913072884082794,0.1043329678941518,698.2493013104969,0.12269495663123793,0.0,1.7284466,-0.01,26.54128,-0.3077797,135.07643920747824,20.513945206743195,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38051.31322756315,Infinity,1.6999999999999997,0.0,0.0,49565.257136799686,800746.9110467683,3.200175300251768E7,30523.248261135486,16591.295464947416,99921.56143709405,123114.74338073915,47383.32271971333,9779.6202909749,0.20639372103185566,0.0,0.0023,-0.01,0,9179.816134932038,3638.6123482032667,0.3963709397574121,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,5.768354,0.0,0.022572935,33.758488,20.173164,51.91518,0.20315638,10.447314,0.040882815
1,8,1,2.9589168230692544,0.7500000223517418,400.0,0.5,15.0,0.29870664700865746,2391.789,23.85,0.72333336,0.32460582,3,1560,223.7214516673667,4.585369248782417,0.05502443359890924,12.825508006349043,0.00429023424036462,12.928451194987264,0.044362813,0.8623648,0.004427586,0.08922276,0.63577306,0.13446991,186.23627,18.089123,13.964966,0.0,0.0,1.296968,252.61157,0.0,0.0,0.0,59.995251103881245,0.0,1.3033852577209473,1.5435297042131424,0.5483527779579163,0.15280569466995075,788.1473392673406,0.14682776750033538,0.0,1.7120945,-0.01,40.985405,-0.32295558,135.46358110872086,20.572740121651538,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38051.31322756315,Infinity,1.6999999999999997,0.0,0.0,49565.257136799686,801182.1671734572,3.209347306541822E7,30508.420747572814,16618.272524293756,99922.4847007407,123084.59986875099,47386.5430263598,9762.404163758085,0.20601638229502273,0.0,0.0023,-0.01,0,9180.30556068027,3631.8960156540375,0.39561820591349794,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,6.730252,0.0,0.022975722,39.390114,26.135923,60.57226,0.20678149,12.87313,0.043946262
1,9,1,3.630361239115397,0.833333358168602,400.0,0.1,15.0,0.29870664700865746,2898.0552,26.114666,0.63,0.321246,3,1560,271.10207423201695,5.066245002140022,0.06079494291328497,17.179685168119796,0.003538769326582402,17.290607307245953,0.051513232,0.8429214,0.0045814877,0.103605,0.6175704,0.14119789,197.9344,20.782267,16.044134,0.0,0.0,1.4683897,270.16052,0.0,0.0,0.0,64.16312602861653,0.0,1.4549351930618286,1.7232921905815601,0.6118960380554199,0.21879227890167385,842.8999983843332,0.16681869009648256,0.0,1.6943736,-0.01,53.733124,-0.3297585,135.87761684916632,20.635619381298632,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38051.31322756315,Infinity,1.6999999999999997,0.0,0.0,49565.257136799686,801661.4811586763,3.2191564705808587E7,30491.386588806537,16665.90788243071,99927.97587967626,123051.50328873312,47390.646440553224,9742.933801094816,0.2055876957347763,0.0,0.0023,-0.01,0,9180.86162282431,3624.1863522927265,0.3947544905025829,900.0,3.0E-4,3.0E-4,8.5E-4,3.21E-4,0.00492,0.0049,0.00148,7.7316027,0.0,0.024123188,45.25463,33.20592,69.58442,0.21710868,15.657569,0.048852805
