leafDM,internodeDM,woodDM,rootDM,berryDM,leafNSC,intNSC,trunkNSC,fineRootNSC,berrySugar,KM_BERRY,KM_ROOTS,KM_SECONDARY,HYDROLYSIS_RATE,day,hourOfDay,scenario,structuralRootDM,structuralRootNSC,cordonDM,cordonNSC
0.0,99984.00811608073,123267.42748233047,30590.86763788751,202925.856549276,0.0,7610.718850146259,9858.307807213441,3668.519424291105,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,0,2,275317.599005017,33016.672947496576,49991.440392220626,3998.026875617029
0.0,99969.09260124703,123246.69343253097,30582.221037453724,203042.85374033786,0.0,7603.095855024912,9848.438360295073,3664.827570299803,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,1,2,275239.5996030772,32983.446264864346,49983.45825487372,3994.024331681244
0.0,99954.53878121673,123226.4638400059,30573.78465087676,203156.87881996625,0.0,7595.65842496846,9838.809184956179,3661.225527397251,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,2,2,275163.496990801,32951.02788330934,49975.67006264377,3990.1192299332934
0.0,99939.64946085968,123205.76985276795,30565.155048078235,203273.63915252045,0.0,7588.050412023767,9828.959142866359,3657.540995285973,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,3,2,275085.65079188446,32917.867097763745,49967.70276529022,3986.1245565999297
0.0,99923.71507862196,123183.6211979101,30555.91935798697,203398.9749729126,0.0,7579.907532629477,9818.416522192583,3653.597587648091,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,4,2,275002.33596863254,32882.37643172399,49959.17572772256,3981.8490089264697
0.0,99905.98986169604,123158.96433850811,30545.636811792843,203539.1189548449,0.0,7570.841440555851,9806.678342505173,3649.2068350232544,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,5,2,274909.57728335477,32842.85966065985,49949.68599360167,3977.088604267733
0.0,99885.69014235714,123130.67022245614,30533.832427564772,203700.77758228264,0.0,7560.434562000773,9793.203627190367,3644.1653602260735,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,6,2,274803.0935562427,32797.48638695565,49938.80514182033,3971.62395017785
0.0,99862.0384503547,123097.57935694612,30520.013693492725,203890.86549608913,0.0,7548.255514336961,9777.43337581195,3638.261810266656,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,7,2,274678.4506593982,32744.354436458023,49926.099252135835,3965.228345953906
0.0,99834.38000577649,123058.63433195959,30503.721780381828,204115.70819551035,0.0,7533.905690288848,9758.850944480673,3631.298415476001,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,8,2,274531.5288474484,32681.683884193124,49911.184673645745,3957.692269069189
0.0,99802.38964740877,123013.11648025755,30484.622833328653,204379.6115024213,0.0,7517.1025451840615,9737.090010515229,3623.129532295057,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,9,2,274359.3576000228,32608.163931445153,49893.82737681297,3948.8671601387205
0.0,99766.3552008843,122960.95873510007,30462.625761449963,204682.9726027609,0.0,7497.788768998325,9712.07606019713,3613.711499212553,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,10,2,274161.2015530394,32523.40162929234,49874.07648451761,3938.7228085622655
0.0,99727.4557149608,122903.03733622111,30437.98614407425,205020.53793000637,0.0,7476.232726309427,9684.15653689839,3603.1471936314006,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,11,2,273939.5397801574,32428.322868146868,49852.39189052766,3927.400135915773
0.0,99687.76322968438,122841.24636758144,30411.33779629797,205381.0148147114,0.0,7453.060914833077,9654.14290042855,3591.702194812951,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,12,2,273700.37781328463,32325.31786460516,49829.661398803,3915.228258684324
