leafDM,internodeDM,woodDM,rootDM,berryDM,leafNSC,intNSC,trunkNSC,fineRootNSC,berrySugar,KM_BERRY,KM_ROOTS,KM_SECONDARY,HYDROLYSIS_RATE,day,hourOfDay,scenario,structuralRootDM,structuralRootNSC,cordonDM,cordonNSC
16865.175835041424,99987.27712903889,123268.35050032324,30591.06498164129,203021.8366879784,922.3903468899929,7610.805322585838,9858.417021187768,3668.5358458620717,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,0,1,275319.4258634557,33016.820741902506,49992.37642745681,3998.0711671440395
16971.969149111865,99975.4382580777,123248.48666128695,30582.60404729647,203228.68257783612,969.3073201083146,7603.264425953712,9848.651235888527,3664.8596086265275,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,1,1,275243.1484748619,32983.73461030836,49985.275561605886,3994.1106648031155
16865.223975975525,99964.19485804334,123229.19437099507,30574.365901585446,203437.17283226692,922.4114964060985,7595.915640172061,9839.13412671797,3661.2744481589866,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,2,1,275168.9000495321,32951.46816815476,49978.43587120678,3990.2510149134787
16763.59631231137,99952.3719422949,123209.36735910151,30565.921441675273,203643.81089445375,877.7639225774013,7588.389339676687,9829.387228379772,3657.605463474825,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,3,1,275092.76982287853,32918.447305906964,49971.3468230462,3986.298175557563
16666.825637185753,99939.24084580739,123188.00946934882,30556.85693945496,203854.48390551461,835.2501452617847,7580.320537022526,9818.937916348503,3653.67613180559,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,4,1,275011.0214289555,32883.08331777475,49963.622198865145,3982.06047524563
16606.259906812582,99929.11609920546,123165.50497004682,30547.001293802805,204176.99990629425,808.6421054739058,7571.455943716901,9807.45676652603,3649.3244198739517,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,5,1,274922.5278746977,32843.91791021026,49956.31115202381,3977.404324834747
16586.560784137982,99924.03579634994,123141.59015970654,30535.988919790412,204618.5553096206,799.9877883100149,7561.480001013006,9794.53542319946,3644.371850341278,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,6,1,274824.7847742111,32799.34478808141,49949.809757810435,3972.164132952271
16591.295464947416,99921.56143709405,123114.74338073915,30523.248261135486,205139.4423238313,802.0678519794218,7549.965156304861,9779.6202909749,3638.6123482032667,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,7,1,274712.66951865016,32747.509281396335,49943.23208713585,3966.1154154907445
16618.272524293756,99922.4847007407,123084.59986875099,30508.420747572814,205727.3914449886,813.9195487066744,7536.674491197082,9762.404163758085,3631.8960156540375,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,8,1,274583.6063711754,32687.062333121365,49936.67296883171,3959.133643287746
16665.90788243071,99927.97587967626,123051.50328873312,30491.386588806537,206356.18401159355,834.8469526496089,7521.644620506304,9742.933801094816,3624.1863522927265,9060.478515625,3.21E-4,8.5E-4,0.0049,0.00148,1,9,1,274437.3342578989,32617.675505771702,49930.47072408507,3951.2379007074514
